UniqueID,ParcelID,LandUse,PropertyAddress,SaleDate,SalePrice,LegalReference,SoldAsVacant,OwnerName,OwnerAddress,Acreage,TaxDistrict,LandValue,BuildingValue,TotalValue,YearBuilt,Bedrooms,FullBath,HalfBath,PropertySplitAddress,PropertyAddressSplitCity,OwnerSplitAddress,OwnerAddressSplitCity,OwnerAddressSplitState
7982,"018 12 0A 025.00","SINGLE FAMILY","112  MAVELLA CT, GOODLETTSVILLE",13-09-20,164800,20130923-0099794,No,,,0,,0,0,0,0,0,0,0,"112  MAVELLA CT"," GOODLETTSVILLE",,,
5808,"018 12 0A 029.00","SINGLE FAMILY","104  MAVELLA CT, GOODLETTSVILLE",13-07-19,140000,20130722-0075620,No,,,0,,0,0,0,0,0,0,0,"104  MAVELLA CT"," GOODLETTSVILLE",,,
38074,"018 12 0A 030.00","SINGLE FAMILY","102  MAVELLA CT, GOODLETTSVILLE",15-09-17,170000,20150925-0097548,No,,,0,,0,0,0,0,0,0,0,"102  MAVELLA CT"," GOODLETTSVILLE",,,
4518,"018 12 0A 032.00","SINGLE FAMILY","318  DORR DR, GOODLETTSVILLE",13-06-06,149000,20130610-0058845,No,,,0,,0,0,0,0,0,0,0,"318  DORR DR"," GOODLETTSVILLE",,,
12402,"018 12 0A 038.00","SINGLE FAMILY","331  DORR DR, GOODLETTSVILLE",14-02-10,132900,20140213-0012707,No,,,0,,0,0,0,0,0,0,0,"331  DORR DR"," GOODLETTSVILLE",,,
51969,"018 12 0A 048.00","SINGLE FAMILY","371 DORR  DR, GOODLETTSVILLE",16-07-01,170000,20160715-0072739,No,,,0,,0,0,0,0,0,0,0,"371 DORR  DR"," GOODLETTSVILLE",,,
38075,"018 12 0A 051.00","SINGLE FAMILY","383  DORR DR, GOODLETTSVILLE",15-09-22,146000,20150930-0099411,No,,,0,,0,0,0,0,0,0,0,"383  DORR DR"," GOODLETTSVILLE",,,
29469,"018 12 0A 053.00","SINGLE FAMILY","391  DORR DR, GOODLETTSVILLE",15-04-17,159000,20150420-0034831,No,,,0,,0,0,0,0,0,0,0,"391  DORR DR"," GOODLETTSVILLE",,,
9799,"018 12 0A 054.00","SINGLE FAMILY","397  DORR DR, GOODLETTSVILLE",13-11-13,154000,20131121-0119895,No,,,0,,0,0,0,0,0,0,0,"397  DORR DR"," GOODLETTSVILLE",,,
43073,"025 00 0 218.00","VACANT RESIDENTIAL LAND","DICKERSON PIKE, GOODLETTSVILLE",16-01-11,56000,20160112-0003190,Yes,"COX, THOMAS J. JR. & TAMMY J.","0  DICKERSON PIKE, GOODLETTSVILLE, TN",6.67,"CITY OF GOODLETTSVILLE",148400,0,148400,0,0,0,0,"DICKERSON PIKE"," GOODLETTSVILLE","0  DICKERSON PIKE",GOODLETTSVILLE,TN
43074,"025 03 0 011.00","VACANT RESIDENTIAL LAND","0  MONCRIEF AVE, GOODLETTSVILLE",16-01-22,50000,20160201-0009199,Yes,"DREES PREMIER HOMES, INC.","500  MONCRIEF AVE, GOODLETTSVILLE, TN",9.89,"CITY OF GOODLETTSVILLE",89000,0,89000,0,0,0,0,"0  MONCRIEF AVE"," GOODLETTSVILLE","500  MONCRIEF AVE",GOODLETTSVILLE,TN
50587,"025 03 0 032.00","VACANT RESIDENTIAL LAND","435 MONCRIEF  AVE, GOODLETTSVILLE",16-06-08,24400,20160616-0061051,No,"PEGRAM, RAYMOND & MARY","435  MONCRIEF AVE, GOODLETTSVILLE, TN",0.65,"CITY OF GOODLETTSVILLE",28100,0,28100,0,0,0,0,"435 MONCRIEF  AVE"," GOODLETTSVILLE","435  MONCRIEF AVE",GOODLETTSVILLE,TN
51972,"025 16 0 020.00","VACANT RESIDENTIAL LAND","0 DICKERSON  PIKE, GOODLETTSVILLE",16-07-08,30000,20160711-0070378,No,"DAVENPORT, MICHAEL G.","0  DICKERSON PIKE, GOODLETTSVILLE, TN",1.07,"CITY OF GOODLETTSVILLE",30800,0,30800,0,0,0,0,"0 DICKERSON  PIKE"," GOODLETTSVILLE","0  DICKERSON PIKE",GOODLETTSVILLE,TN
14429,"025 16 0 039.00","VACANT RES LAND","0  MOSS TRL, GOODLETTSVILLE",14-04-10,80000,20140415-0031418,No,"DEBOES, BRYAN E. & JEANETTE R.","0  MOSS TRL, GOODLETTSVILLE, TN",0.76,"CITY OF GOODLETTSVILLE",27700,0,27700,0,0,0,0,"0  MOSS TRL"," GOODLETTSVILLE","0  MOSS TRL",GOODLETTSVILLE,TN
2048,"026 01 0 052.00","VACANT RES LAND","126  EAST AVE, GOODLETTSVILLE",13-04-29,22500,20130501-0043874,No,"G AND M PROPERTIES, LLC","126  EAST AVE, GOODLETTSVILLE, TN",0.17,"CITY OF GOODLETTSVILLE",21100,0,21100,0,0,0,0,"126  EAST AVE"," GOODLETTSVILLE","126  EAST AVE",GOODLETTSVILLE,TN
40661,"026 05 0 099.00","VACANT RESIDENTIAL LAND","203  HOLLYWOOD ST, GOODLETTSVILLE",15-11-05,36900,20151106-0113190,Yes,"SLOAN, CASEY M.","203  HOLLYWOOD ST, GOODLETTSVILLE, TN",0.26,"CITY OF GOODLETTSVILLE",24000,253200,283800,2016,3,3,0,"203  HOLLYWOOD ST"," GOODLETTSVILLE","203  HOLLYWOOD ST",GOODLETTSVILLE,TN
50606,"026 06 0 011.00","ZERO LOT LINE","122 HABERSHAM  CT, GOODLETTSVILLE",16-06-09,0,20160613-0059703,No,"DUVALL, LAUREN R.","122  HABERSHAM CT, GOODLETTSVILLE, TN",0.13,"CITY OF GOODLETTSVILLE",15000,85000,100000,1986,3,2,0,"122 HABERSHAM  CT"," GOODLETTSVILLE","122  HABERSHAM CT",GOODLETTSVILLE,TN
33049,"026 06 0A 003.00","RESIDENTIAL CONDO","206  WYNDOM CT, GOODLETTSVILLE",15-06-25,149000,20150630-0063113,No,,,0,,0,0,0,0,0,0,0,"206  WYNDOM CT"," GOODLETTSVILLE",,,
1216,"026 06 0A 005.00","RESIDENTIAL CONDO","210  WYNDOM CT, GOODLETTSVILLE",13-03-19,106800,20130325-0029084,No,,,0,,0,0,0,0,0,0,0,"210  WYNDOM CT"," GOODLETTSVILLE",,,
8920,"026 06 0A 006.00","RESIDENTIAL CONDO","212  WYNDOM CT, GOODLETTSVILLE",13-10-25,138000,20131028-0111661,No,,,0,,0,0,0,0,0,0,0,"212  WYNDOM CT"," GOODLETTSVILLE",,,
25045,"026 06 0A 006.00","RESIDENTIAL CONDO","212  WYNDOM CT, GOODLETTSVILLE",14-12-11,152000,20141215-0114311,No,,,0,,0,0,0,0,0,0,0,"212  WYNDOM CT"," GOODLETTSVILLE",,,
7019,"026 06 0A 010.00","RESIDENTIAL CONDO","222  WYNDOM CT, GOODLETTSVILLE",13-08-12,142500,20130815-0085895,No,,,0,,0,0,0,0,0,0,0,"222  WYNDOM CT"," GOODLETTSVILLE",,,
7020,"026 06 0A 012.00","RESIDENTIAL CONDO","226  WYNDOM CT, GOODLETTSVILLE",13-08-30,124900,20130905-0093813,No,,,0,,0,0,0,0,0,0,0,"226  WYNDOM CT"," GOODLETTSVILLE",,,
39459,"026 06 0A 013.00","RESIDENTIAL CONDO","228  WYNDOM CT, GOODLETTSVILLE",15-10-13,160000,20151019-0105883,No,,,0,,0,0,0,0,0,0,0,"228  WYNDOM CT"," GOODLETTSVILLE",,,
50609,"026 06 0A 020.00","RESIDENTIAL CONDO","227 WYNDOM  CT, GOODLETTSVILLE",16-06-03,167000,20160608-0057806,No,,,0,,0,0,0,0,0,0,0,"227 WYNDOM  CT"," GOODLETTSVILLE",,,
4535,"026 06 0A 026.00","RESIDENTIAL CONDO","241  WYNDOM CT, GOODLETTSVILLE",13-06-24,140000,20130628-0066836,No,,,0,,0,0,0,0,0,0,0,"241  WYNDOM CT"," GOODLETTSVILLE",,,
44095,"026 06 0A 029.00","RESIDENTIAL CONDO","102  CANTON CT, GOODLETTSVILLE",16-02-08,160000,20160210-0012911,No,,,0,,0,0,0,0,0,0,0,"102  CANTON CT"," GOODLETTSVILLE",,,
45313,"026 06 0A 031.00","RESIDENTIAL CONDO","106  CANTON CT, GOODLETTSVILLE",16-03-22,159000,20160330-0030175,No,,,0,,0,0,0,0,0,0,0,"106  CANTON CT"," GOODLETTSVILLE",,,
54611,"026 06 0A 032.00","RESIDENTIAL CONDO","108 CANTON  CT, GOODLETTSVILLE",16-09-07,167000,20160909-0095038,No,,,0,,0,0,0,0,0,0,0,"108 CANTON  CT"," GOODLETTSVILLE",,,
19828,"026 06 0A 038.00","RESIDENTIAL CONDO","109  CANTON CT, GOODLETTSVILLE",14-08-21,127000,20140825-0077233,No,,,0,,0,0,0,0,0,0,0,"109  CANTON CT"," GOODLETTSVILLE",,,
53147,"026 06 0A 038.00","RESIDENTIAL CONDO","109  CANTON CT, GOODLETTSVILLE",16-08-25,144900,20160831-0091567,No,,,0,,0,0,0,0,0,0,0,"109  CANTON CT"," GOODLETTSVILLE",,,
34784,"026 06 0A 043.00","RESIDENTIAL CONDO","129  CANTON CT, GOODLETTSVILLE",15-07-15,167967,20150717-0070151,No,,,0,,0,0,0,0,0,0,0,"129  CANTON CT"," GOODLETTSVILLE",,,
54612,"026 06 0A 052.00","RESIDENTIAL CONDO","112 CANTON  CT, GOODLETTSVILLE",16-09-12,162500,20160914-0096868,No,,,0,,0,0,0,0,0,0,0,"112 CANTON  CT"," GOODLETTSVILLE",,,
46905,"026 06 0A 053.00","RESIDENTIAL CONDO","114  CANTON CT, GOODLETTSVILLE",16-04-08,157500,20160414-0035589,No,,,0,,0,0,0,0,0,0,0,"114  CANTON CT"," GOODLETTSVILLE",,,
38107,"026 06 0A 056.00","RESIDENTIAL CONDO","120  CANTON CT, GOODLETTSVILLE",15-09-30,157000,20151005-0101163,No,,,0,,0,0,0,0,0,0,0,"120  CANTON CT"," GOODLETTSVILLE",,,
25046,"026 06 0A 058.00","RESIDENTIAL CONDO","124  CANTON CT, GOODLETTSVILLE",14-12-12,141000,20141222-0116906,No,,,0,,0,0,0,0,0,0,0,"124  CANTON CT"," GOODLETTSVILLE",,,
19829,"026 06 0A 061.00","RESIDENTIAL CONDO","135  CANTON CT, GOODLETTSVILLE",14-08-29,165000,20140904-0080852,No,,,0,,0,0,0,0,0,0,0,"135  CANTON CT"," GOODLETTSVILLE",,,
16948,"026 06 0A 062.00","RESIDENTIAL CONDO","137  CANTON CT, GOODLETTSVILLE",14-06-27,141000,20140701-0057770,No,,,0,,0,0,0,0,0,0,0,"137  CANTON CT"," GOODLETTSVILLE",,,
54613,"026 06 0A 073.00","RESIDENTIAL CONDO","128 CANTON  CT, GOODLETTSVILLE",16-09-16,181000,20160920-0098691,No,,,0,,0,0,0,0,0,0,0,"128 CANTON  CT"," GOODLETTSVILLE",,,
25047,"026 06 0A 076.00","RESIDENTIAL CONDO","134  CANTON CT, GOODLETTSVILLE",14-12-11,155800,20141216-0114967,No,,,0,,0,0,0,0,0,0,0,"134  CANTON CT"," GOODLETTSVILLE",,,
46906,"026 06 0A 077.00","RESIDENTIAL CONDO","136  CANTON CT, GOODLETTSVILLE",16-04-14,163900,20160415-0036244,No,,,0,,0,0,0,0,0,0,0,"136  CANTON CT"," GOODLETTSVILLE",,,
25048,"026 06 0A 078.00","RESIDENTIAL CONDO","138  CANTON CT, GOODLETTSVILLE",14-12-05,154900,20141211-0113406,No,,,0,,0,0,0,0,0,0,0,"138  CANTON CT"," GOODLETTSVILLE",,,
31103,"026 06 0A 080.00","RESIDENTIAL CONDO","142  CANTON CT, GOODLETTSVILLE",15-05-29,150000,20150616-0057165,No,,,0,,0,0,0,0,0,0,0,"142  CANTON CT"," GOODLETTSVILLE",,,
31104,"026 06 0A 082.00","RESIDENTIAL CONDO","146  CANTON CT, GOODLETTSVILLE",15-05-22,150000,20150528-0049004,No,,,0,,0,0,0,0,0,0,0,"146  CANTON CT"," GOODLETTSVILLE",,,
36524,"026 06 0A 083.00","RESIDENTIAL CONDO","148  CANTON CT, GOODLETTSVILLE",15-08-14,154900,20150820-0083981,No,,,0,,0,0,0,0,0,0,0,"148  CANTON CT"," GOODLETTSVILLE",,,
40664,"032 09 0 050.00","VACANT RESIDENTIAL LAND","4809  INDIAN SUMMER DR, NASHVILLE",15-11-03,3000,20151106-0113522,Yes,"BARKSDALE, BETRICE","4809  INDIAN SUMMER DR, NASHVILLE, TN",0.56,"GENERAL SERVICES DISTRICT",30000,0,30000,0,0,0,0,"4809  INDIAN SUMMER DR"," NASHVILLE","4809  INDIAN SUMMER DR",NASHVILLE,TN
29473,"032 09 0B 015.00","SINGLE FAMILY","4945  INDIAN SUMMER DR, NASHVILLE",15-04-17,182000,20150421-0035326,No,,,0,,0,0,0,0,0,0,0,"4945  INDIAN SUMMER DR"," NASHVILLE",,,
16928,"032 09 0B 031.00","SINGLE FAMILY","200  INDIAN SUMMER CT, NASHVILLE",14-06-30,296500,20140708-0060150,No,,,0,,0,0,0,0,0,0,0,"200  INDIAN SUMMER CT"," NASHVILLE",,,
10756,"032 15 0 020.00","VACANT RES LAND","0  DALEMERE DR, NASHVILLE",13-12-06,169900,20131211-0125356,No,"GLASS, CHARLES & DEEYA","0  DALEMERE DR, NASHVILLE, TN",0.34,"GENERAL SERVICES DISTRICT",200,0,200,0,0,0,0,"0  DALEMERE DR"," NASHVILLE","0  DALEMERE DR",NASHVILLE,TN
19830,"033 00 0 124.02","VACANT RESIDENTIAL LAND","0  OAKLYNN DR, MADISON",14-08-21,100000,20141020-0096578,Yes,"SCHATTEN, EMANUEL TESTAMENTARY TRUST, THE","0  OAKLYNN DR, MADISON, TN",9.5,"GENERAL SERVICES DISTRICT",68400,0,68400,0,0,0,0,"0  OAKLYNN DR"," MADISON","0  OAKLYNN DR",MADISON,TN
44081,"033 00 0 208.00","VACANT RESIDENTIAL LAND","0  DRY CREEK LN, GOODLETTSVILLE",16-02-12,89900,20160218-0015413,Yes,"STEWART BUILDING GROUP","0  DRY CREEK LN, GOODLETTSVILLE, TN",2.34,"CITY OF GOODLETTSVILLE",37600,0,37600,0,0,0,0,"0  DRY CREEK LN"," GOODLETTSVILLE","0  DRY CREEK LN",GOODLETTSVILLE,TN
19814,"033 01 0 008.00","VACANT RESIDENTIAL LAND","951  CARLIN ST, GOODLETTSVILLE",14-08-28,180000,20140829-0079387,Yes,"HILLS HOLLOW TRUST, THE","951  CARLIN ST, GOODLETTSVILLE, TN",1.28,"GENERAL SERVICES DISTRICT",35000,0,35000,0,0,0,0,"951  CARLIN ST"," GOODLETTSVILLE","951  CARLIN ST",GOODLETTSVILLE,TN
15546,"033 02 0 014.00","VACANT RES LAND","0  GENELLE DR, GOODLETTSVILLE",14-05-09,3000,20140516-0042382,Yes,"WINGO, ROBERT J. & JUDY S. & ROBERT J., JR. & AMY GIPSON","0  GENELLE DR, GOODLETTSVILLE, TN",0.34,"GENERAL SERVICES DISTRICT",200,0,200,0,0,0,0,"0  GENELLE DR"," GOODLETTSVILLE","0  GENELLE DR",GOODLETTSVILLE,TN
26219,"033 03 0A 087.00","RESIDENTIAL CONDO","87  ROLLING MEADOWS DR, GOODLETTSVILLE",15-01-16,117000,20150126-0007020,No,,,0,,0,0,0,0,0,0,0,"87  ROLLING MEADOWS DR"," GOODLETTSVILLE",,,
53123,"033 03 0A 089.00","RESIDENTIAL CONDO","89 ROLLING MEADOWS  DR, GOODLETTSVILLE",16-08-19,125000,20160825-0089023,No,,,0,,0,0,0,0,0,0,0,"89 ROLLING MEADOWS  DR"," GOODLETTSVILLE",,,
31084,"033 03 0A 097.00","RESIDENTIAL CONDO","97  ROLLING MEADOWS DR, GOODLETTSVILLE",15-05-01,91000,20150505-0041041,No,,,0,,0,0,0,0,0,0,0,"97  ROLLING MEADOWS DR"," GOODLETTSVILLE",,,
34762,"033 03 0A 097.00","RESIDENTIAL CONDO","97  ROLLING MEADOWS DR, GOODLETTSVILLE",15-07-15,136000,20150729-0074782,No,,,0,,0,0,0,0,0,0,0,"97  ROLLING MEADOWS DR"," GOODLETTSVILLE",,,
31085,"033 03 0A 100.00","RESIDENTIAL CONDO","100  ROLLING MEADOWS DR, GOODLETTSVILLE",15-05-26,120000,20150527-0048480,No,,,0,,0,0,0,0,0,0,0,"100  ROLLING MEADOWS DR"," GOODLETTSVILLE",,,
6999,"033 03 0A 108.00","RESIDENTIAL CONDO","108  ROLLING MEADOWS DR, GOODLETTSVILLE",13-08-13,100500,20130816-0086171,No,,,0,,0,0,0,0,0,0,0,"108  ROLLING MEADOWS DR"," GOODLETTSVILLE",,,
26220,"033 03 0A 110.00","RESIDENTIAL CONDO","110  ROLLING MEADOWS DR, GOODLETTSVILLE",15-01-16,100000,20150120-0005277,No,,,0,,0,0,0,0,0,0,0,"110  ROLLING MEADOWS DR"," GOODLETTSVILLE",,,
10757,"033 03 0B 001.00","SINGLE FAMILY","102  IVY HILL LN, GOODLETTSVILLE",13-12-10,163000,20131211-0125601,No,,,0,,0,0,0,0,0,0,0,"102  IVY HILL LN"," GOODLETTSVILLE",,,
5814,"033 03 0B 004.00","SINGLE FAMILY","108  IVY HILL LN, GOODLETTSVILLE",13-07-31,146000,20130805-0081561,No,,,0,,0,0,0,0,0,0,0,"108  IVY HILL LN"," GOODLETTSVILLE",,,
44082,"033 03 0B 022.00","SINGLE FAMILY","130  TRELLIS WAY, GOODLETTSVILLE",16-02-25,207000,20160229-0019003,No,,,0,,0,0,0,0,0,0,0,"130  TRELLIS WAY"," GOODLETTSVILLE",,,
54591,"033 03 0B 023.00","SINGLE FAMILY","129 TRELLIS  WAY, GOODLETTSVILLE",16-09-16,214000,20160916-0097806,No,,,0,,0,0,0,0,0,0,0,"129 TRELLIS  WAY"," GOODLETTSVILLE",,,
45292,"033 03 0B 030.00","SINGLE FAMILY","115  TRELLIS WAY, GOODLETTSVILLE",16-03-28,212000,20160329-0029517,No,,,0,,0,0,0,0,0,0,0,"115  TRELLIS WAY"," GOODLETTSVILLE",,,
5815,"033 03 0B 039.00","SINGLE FAMILY","104  VINE LN, GOODLETTSVILLE",13-07-03,148500,20130708-0070207,No,,,0,,0,0,0,0,0,0,0,"104  VINE LN"," GOODLETTSVILLE",,,
14433,"033 03 0B 042.00","SINGLE FAMILY","110  VINE LN, GOODLETTSVILLE",14-04-29,157500,20140502-0037357,No,,,0,,0,0,0,0,0,0,0,"110  VINE LN"," GOODLETTSVILLE",,,
48727,"033 03 0B 042.00","SINGLE FAMILY","110 VINE  LN, GOODLETTSVILLE",16-05-18,185000,20160523-0051455,No,,,0,,0,0,0,0,0,0,0,"110 VINE  LN"," GOODLETTSVILLE",,,
54592,"033 03 0B 043.00","SINGLE FAMILY","112 VINE  LN, GOODLETTSVILLE",16-09-15,214900,20160921-0099657,No,,,0,,0,0,0,0,0,0,0,"112 VINE  LN"," GOODLETTSVILLE",,,
31086,"033 03 0B 047.00","SINGLE FAMILY","120  VINE LN, GOODLETTSVILLE",15-05-08,184398,20150514-0044557,No,,,0,,0,0,0,0,0,0,0,"120  VINE LN"," GOODLETTSVILLE",,,
3271,"033 03 0B 051.00","SINGLE FAMILY","110  IVY HILL LN, GOODLETTSVILLE",13-05-01,162900,20130508-0046238,No,,,0,,0,0,0,0,0,0,0,"110  IVY HILL LN"," GOODLETTSVILLE",,,
22725,"033 03 0B 052.00","SINGLE FAMILY","112  IVY HILL LN, GOODLETTSVILLE",14-10-21,165000,20141103-0101012,No,,,0,,0,0,0,0,0,0,0,"112  IVY HILL LN"," GOODLETTSVILLE",,,
21308,"033 03 0B 054.00","SINGLE FAMILY","102  TRAILING BLOSSOM LN, GOODLETTSVILLE",14-09-29,197500,20141007-0092813,No,,,0,,0,0,0,0,0,0,0,"102  TRAILING BLOSSOM LN"," GOODLETTSVILLE",,,
22726,"033 03 0B 059.00","SINGLE FAMILY","112  TRAILING BLOSSOM LN, GOODLETTSVILLE",14-10-27,195000,20141031-0100693,No,,,0,,0,0,0,0,0,0,0,"112  TRAILING BLOSSOM LN"," GOODLETTSVILLE",,,
2050,"033 03 0B 060.00","SINGLE FAMILY","170  IVY HILL LN, GOODLETTSVILLE",13-04-29,145000,20130501-0043368,No,,,0,,0,0,0,0,0,0,0,"170  IVY HILL LN"," GOODLETTSVILLE",,,
34763,"033 03 0B 065.00","SINGLE FAMILY","180  IVY HILL LN, GOODLETTSVILLE",15-07-24,174900,20150729-0074735,No,,,0,,0,0,0,0,0,0,0,"180  IVY HILL LN"," GOODLETTSVILLE",,,
22727,"033 03 0B 066.00","SINGLE FAMILY","182  IVY HILL LN, GOODLETTSVILLE",14-10-30,141000,20141103-0101021,No,,,0,,0,0,0,0,0,0,0,"182  IVY HILL LN"," GOODLETTSVILLE",,,
243,"033 03 0B 067.00","SINGLE FAMILY","184  IVY HILL LN, GOODLETTSVILLE",13-01-11,165000,20130116-0005229,No,,,0,,0,0,0,0,0,0,0,"184  IVY HILL LN"," GOODLETTSVILLE",,,
45293,"033 03 0B 071.00","SINGLE FAMILY","192  IVY HILL LN, GOODLETTSVILLE",16-03-08,190000,20160309-0022759,No,,,0,,0,0,0,0,0,0,0,"192  IVY HILL LN"," GOODLETTSVILLE",,,
36508,"033 03 0B 073.00","SINGLE FAMILY","196  IVY HILL LN, GOODLETTSVILLE",15-08-25,174900,20150828-0087121,No,,,0,,0,0,0,0,0,0,0,"196  IVY HILL LN"," GOODLETTSVILLE",,,
28160,"033 03 0B 075.00","SINGLE FAMILY","200  IVY HILL LN, GOODLETTSVILLE",15-03-13,231000,20150317-0022900,No,,,0,,0,0,0,0,0,0,0,"200  IVY HILL LN"," GOODLETTSVILLE",,,
28161,"033 03 0B 076.00","SINGLE FAMILY","202  IVY HILL LN, GOODLETTSVILLE",15-03-13,162000,20150317-0022892,No,,,0,,0,0,0,0,0,0,0,"202  IVY HILL LN"," GOODLETTSVILLE",,,
33032,"033 03 0B 079.00","SINGLE FAMILY","205  IVY HILL LN, GOODLETTSVILLE",15-06-12,232500,20150616-0057275,No,,,0,,0,0,0,0,0,0,0,"205  IVY HILL LN"," GOODLETTSVILLE",,,
28162,"033 03 0B 081.00","SINGLE FAMILY","201  IVY HILL LN, GOODLETTSVILLE",15-03-13,176000,20150317-0022896,No,,,0,,0,0,0,0,0,0,0,"201  IVY HILL LN"," GOODLETTSVILLE",,,
13359,"033 03 0B 085.00","SINGLE FAMILY","193  IVY HILL LN, GOODLETTSVILLE",14-03-13,150000,20140324-0023846,No,,,0,,0,0,0,0,0,0,0,"193  IVY HILL LN"," GOODLETTSVILLE",,,
28163,"033 03 0B 086.00","SINGLE FAMILY","191  IVY HILL LN, GOODLETTSVILLE",15-03-13,182000,20150317-0022906,No,,,0,,0,0,0,0,0,0,0,"191  IVY HILL LN"," GOODLETTSVILLE",,,
48728,"033 03 0B 087.00","SINGLE FAMILY","113 TRAILING BLOSSOM  LN, GOODLETTSVILLE",16-05-05,220000,20160506-0045068,No,,,0,,0,0,0,0,0,0,0,"113 TRAILING BLOSSOM  LN"," GOODLETTSVILLE",,,
3272,"033 03 0B 100.00","SINGLE FAMILY","122  IVY HILL LN, GOODLETTSVILLE",13-05-15,180000,20130517-0050082,No,,,0,,0,0,0,0,0,0,0,"122  IVY HILL LN"," GOODLETTSVILLE",,,
56040,"033 03 0B 100.00","SINGLE FAMILY","122 IVY HILL  LN, GOODLETTSVILLE",16-10-14,219000,20161020-0111002,No,,,0,,0,0,0,0,0,0,0,"122 IVY HILL  LN"," GOODLETTSVILLE",,,
56041,"033 03 0B 105.00","SINGLE FAMILY","132 IVY HILL  LN, GOODLETTSVILLE",16-10-31,217900,20161102-0115681,No,,,0,,0,0,0,0,0,0,0,"132 IVY HILL  LN"," GOODLETTSVILLE",,,
38082,"033 03 0B 111.00","SINGLE FAMILY","144  IVY HILL LN, GOODLETTSVILLE",15-09-30,194941,20151002-0100651,No,,,0,,0,0,0,0,0,0,0,"144  IVY HILL LN"," GOODLETTSVILLE",,,
36509,"033 03 0B 115.00","SINGLE FAMILY","152  IVY HILL LN, GOODLETTSVILLE",15-08-03,195000,20150805-0077986,No,,,0,,0,0,0,0,0,0,0,"152  IVY HILL LN"," GOODLETTSVILLE",,,
